City,Zip,Job Description,Member,Unit,Dues,Join Date, Withdrawl Date,Race,Sex,Work Num,Worksite,Age,Employement Duration
PENSACOLA,32526,TECHNOLOGY COORDINATOR,N,EEA,0.0,,,W,M,61,BELLVIEW MIDDLE,61,28
PENSACOLA,32526,REMEDIAL ED TEACHER K-5,Y,EEA,64.87,9/22/1994,,W,F,31,JIM ALLEN ELEMENTARY,60,26
PENSACOLA,32526,ESE-GIFTED SELF-CONTAINED/CLUSTER TCHR,Y,EEA,64.87,8/13/2004,,W,M,671,BROWN-BARGE MIDDLE,63,29
PENSACOLA,32505,SCHOOL SOCIAL WORKER,Y,EEA,64.87,6/9/2016,,B,M,9419,SOCIAL WORK DEPARTMENT,51,16
CANTONMENT,32533,5TH GRADE TCHR--SELF CONTAINED,N,EEA,0.0,10/4/2017,,W,F,1261,MOLINO PARK ELEMENTARY,63,22
PENSACOLA,32526,LANGUAGE ARTS TEACHER    9-12,N,EEA,0.0,,,W,F,1251,WEST FLORIDA TECH HIGH,55,20
PENSACOLA,32506,SOCIAL STUDIES TEACHER   6-8,Y,EEA,64.87,5/3/2019,,W,F,1291,BEULAH MIDDLE,52,21
PENSACOLA,32526,2ND GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,1201,LIPSCOMB ELEMENTARY,58,26
MILTON,32583,LIBRARIAN/MEDIA SPEC  6-8,N,EEA,0.0,,,W,F,671,BROWN-BARGE MIDDLE,62,20
PENSACOLA,32507,BUSINESS ED TEACHER-VOC,Y,EEA,64.87,4/2/2012,,W,F,862,PINE FOREST HIGH,54,16
PENSACOLA,32526,5TH GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,10/18/2010,,W,F,21,CARO ELEMENTARY,42,17
PENSACOLA,32534,4TH GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,441,PINE MEADOW ELEMENTARY,58,16
PENSACOLA,32507,REMEDIAL ED TEACHER K-5,Y,EEA,64.87,,,W,F,1281,GLOBAL LEARNING ACADEMY,63,27
PENSACOLA,32503,LIBRARIAN/MEDIA SPEC  K-5,Y,EEA,64.87,11/6/1996,,W,F,191,COOK ELEMENTARY,50,25
PENSACOLA,32505,SCIENCE TEACHER   9-12,Y,EEA,64.87,12/12/2003,,B,F,281,ESCAMBIA HIGH,47,17
CANTONMENT,32533,TECHNOLOGY COORDINATOR,N,EEA,0.0,,,W,M,221,RANSOM MIDDLE,41,16
CANTONMENT,32533,KINDERGARTEN-SELF CONTAINED,N,EEA,0.0,,,W,F,31,JIM ALLEN ELEMENTARY,40,16
PENSACOLA,32526,POSITIVE BEHAVIOR SUPPORT COACH,Y,EEA,64.87,11/19/2001,,W,M,281,ESCAMBIA HIGH,46,28
PENSACOLA,32507,KINDERGARTEN-SELF CONTAINED,Y,EEA,64.87,12/2/1992,,H,F,21,CARO ELEMENTARY,67,28
PENSACOLA,32505,ESE-VE SELF-CONTAINED TEACHER,N,EEA,0.0,,,W,F,61,BELLVIEW MIDDLE,72,27
PENSACOLA,32534,1ST GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,921,MCARTHUR ELEMENTARY,40,16
PENSACOLA,32514,POSITIVE BEHAVIOR SUPPORT COACH,Y,EEA,64.87,8/9/2006,,B,F,863,LONGLEAF ELEMENTARY,36,15
PENSACOLA,32507,INSTRUCTIONAL COACH,Y,EEA,64.87,,,W,F,281,ESCAMBIA HIGH,58,21
PENSACOLA,32514,KINDERGARTEN-SELF CONTAINED,N,EEA,0.0,,,W,F,1311,KINGSFIELD ELEMENTARY,44,20
PENSACOLA,32507,DROPOUT PREVENTION   TEACHER 9-12,Y,EEA,64.87,1/12/2000,,W,F,9304,DROPOUT PREVENTION PROG,58,21
FLOMATON,36441,SCIENCE TEACHER   9-12,N,EEA,0.0,,,W,F,1231,NORTHVIEW HIGH,49,18
PENSACOLA,32504,3RD GRADE TCHR--SELF CONTAINED,N,EEA,0.0,8/6/2003,5/17/2012,B,F,191,COOK ELEMENTARY,42,28
PENSACOLA,32514,ESE-INCLUSION SUPPORT TEACHER,N,EEA,0.0,,,W,F,31,JIM ALLEN ELEMENTARY,58,36
CENTURY,32535,3RD GRADE TCHR--SELF CONTAINED,Y,EEA,66.37,9/7/1999,,W,F,161,BYRNEVILLE CHARTER,43,21
PENSACOLA,32507,SOCIAL STUDIES TEACHER   9-12,Y,EEA,64.87,11/22/2020,,W,F,281,ESCAMBIA HIGH,44,16
PENSACOLA,32506,ESE PK-VE SELF-CONTAINED TEACHER,Y,EEA,64.87,9/12/2006,,W,F,51,BELLVIEW ELEMENTARY,52,26
PENSACOLA,32526,SCHOOL COUNSELOR  K-5,Y,EEA,64.87,9/18/2018,,B,F,271,ENSLEY ELEMENTARY,52,15
PENSACOLA,32501,SOCIAL STUDIES TEACHER   9-12,Y,EEA,66.37,8/9/2006,,W,M,411,PENSACOLA HIGH,48,20
CANTONMENT,32533,ART TEACHER 9-12,N,EEA,0.0,,,W,F,521,TATE HIGH,44,13
PENSACOLA,32506,3RD GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,8/13/2004,,W,F,491,SHERWOOD ELEMENTARY,61,16
PENSACOLA,32503,PRE-K TEACHER-SELF CONTAINED,Y,EEA,64.87,11/7/1989,,W,F,602,HOLM ELEMENTARY,62,32
PENSACOLA,32514,3RD GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,8/10/2016,,B,F,291,FERRY PASS ELEMENTARY,51,22
PENSACOLA,32502,4TH GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,M,231,CORDOVA PARK ELEMENTARY,55,26
PENSACOLA,32514,4TH GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,361,MONTCLAIR ELEMENTARY,55,23
PENSACOLA,32504,2ND GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,7/18/2003,,W,F,941,BEULAH ELEMENTARY,61,26
PENSACOLA,32526,MUSIC TEACHER K-5,N,EEA,0.0,,,W,F,581,WEST PENSACOLA ELEMENTARY,57,27
PACE,32571,1ST GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,8/9/2006,,W,F,191,COOK ELEMENTARY,39,15
CANTONMENT,32533,MATHEMATICS TEACHER   6-8,N,EEA,0.0,,,W,F,301,FERRY PASS MIDDLE,45,22
PENSACOLA,32504,PHYSICAL ED TEACHER 6-8,Y,EEA,64.87,9/1/1987,,W,F,601,WORKMAN MIDDLE,60,36
PENSACOLA,32526,2ND GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,863,LONGLEAF ELEMENTARY,51,24
PENSACOLA,32514,ESE-RESOURCE TEACHER,N,EEA,0.0,,,W,F,9360,EXCEPTIONAL STUDENT ED-WK LOC,62,35
PENSACOLA,32501,4TH GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,3/17/2010,,W,F,501,SUTER ELEMENTARY,54,25
PENSACOLA,32503,ISS/ILR TEACHER 6-8,Y,EEA,64.87,,,W,F,221,RANSOM MIDDLE,56,26
PENSACOLA,32504,LIBRARIAN/MEDIA SPEC  K-5,Y,EEA,64.87,10/20/2004,,A,F,572,WEIS ELEMENTARY,43,19
PENSACOLA,32514,5TH GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,441,PINE MEADOW ELEMENTARY,53,17
CANTONMENT,32533,LANGUAGE ARTS TEACHER   6-8,N,EEA,0.0,,,W,F,221,RANSOM MIDDLE,47,21
PENSACOLA,32507,ESE-ACCESS POINTS TEACHER,Y,EEA,64.87,7/26/1999,,W,F,381,NAVY POINT ELEMENTARY,58,28
NAVARRE,32566,SOCIAL STUDIES TEACHER   6-8,N,EEA,0.0,,,W,F,1221,BAILEY MIDDLE,51,19
PENSACOLA,32507,1ST GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,8/28/2014,,W,F,863,LONGLEAF ELEMENTARY,60,32
MILTON,32570,ESE-INCLUSION SUPPORT TEACHER,Y,EEA,64.87,9/20/2017,,W,F,51,BELLVIEW ELEMENTARY,40,17
CANTONMENT,32533,PRE-K TEACHER-SELF CONTAINED,Y,EEA,64.87,12/1/2018,,W,F,863,LONGLEAF ELEMENTARY,57,29
PENSACOLA,32503,ESE-GIFTED SELF-CONTAINED/CLUSTER TCHR,N,EEA,0.0,,,W,F,1221,BAILEY MIDDLE,63,40
PENSACOLA,32504,2ND GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,231,CORDOVA PARK ELEMENTARY,56,34
PENSACOLA,32503,2ND GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,7/14/2011,,W,F,191,COOK ELEMENTARY,52,21
PENSACOLA,32507,ESE-BEHAVIOR TEACHER,Y,EEA,64.87,9/14/2010,,W,F,924,LAKEVIEW CENTER,53,16
PENSACOLA,32507,DEAN   9-12,N,EEA,0.0,,,W,M,281,ESCAMBIA HIGH,49,15
PENSACOLA,32503,5TH GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,501,SUTER ELEMENTARY,63,34
MOLINO,32577,TEACHER IN CHARGE INST/CURR,N,EEA,0.0,,,W,F,924,LAKEVIEW CENTER,62,32
PENSACOLA,32514,TSA-INSTRUCTIONAL TRAINING,N,EEA,0.0,,,W,F,9205,STAFF DEVELOPMENT,45,16
MOLINO,32577,ESE-INCLUSION SUPPORT TEACHER,Y,EEA,64.87,9/11/2008,,W,F,101,BRATT ELEMENTARY,53,19
CANTONMENT,32533,ESE PK-BEHAVIOR TEACHER,Y,EEA,64.87,11/15/2000,,W,F,863,LONGLEAF ELEMENTARY,50,25
PENSACOLA,32514,MATHEMATICS TEACHER   9-12,N,EEA,0.0,,,W,F,521,TATE HIGH,67,15
MOLINO,32577,ESE-DEPARTMENT CHAIRPERSON,Y,EEA,66.37,10/14/1997,,W,F,281,ESCAMBIA HIGH,64,34
PENSACOLA,32506,SCIENCE TEACHER   6-8,Y,EEA,64.87,12/9/2004,,W,F,221,RANSOM MIDDLE,61,17
GULF BREEZE,32561,ESE-INCLUSION SUPPORT TEACHER,Y,EEA,64.87,8/11/2017,,W,F,291,FERRY PASS ELEMENTARY,57,25
FOLEY,36535,LIBRARIAN/MEDIA SPEC  K-5,N,EEA,0.0,9/11/2009,12/12/2014,W,F,371,MYRTLE GROVE ELEMENTARY,55,24
PENSACOLA,32503,3RD GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,231,CORDOVA PARK ELEMENTARY,49,26
PENSACOLA,32526,LIBRARIAN/MEDIA SPEC  K-5,N,EEA,0.0,,,A,F,1241,BLUE ANGELS ELEMENTARY,51,21
MILTON,32583,TSA-INSTRUCTIONAL TRAINING,N,EEA,0.0,,,W,F,9374,TITLE I,50,24
ATMORE,36504,KINDERGARTEN-SELF CONTAINED,Y,EEA,64.87,9/2/1999,,W,F,101,BRATT ELEMENTARY,58,32
PENSACOLA,32504,ROTC INSTR - ARMY,Y,EEA,64.87,2/21/2008,,B,M,521,TATE HIGH,61,19
MILTON,32583,READING TEACHER   6-8,Y,EEA,64.87,11/27/2017,,W,F,221,RANSOM MIDDLE,52,26
PENSACOLA,32514,2ND GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,4/28/1994,,B,F,111,BRENTWOOD ELEMENTARY,57,27
PENSACOLA,32534,ESE-INCLUSION SUPPORT TEACHER,Y,EEA,64.87,7/24/2014,,B,M,771,LINCOLN PARK ELEMENTARY,61,30
PENSACOLA,32526,5TH GRADE TCHR--SELF CONTAINED,Y,EEA,66.37,8/19/2004,,W,F,1241,BLUE ANGELS ELEMENTARY,40,16
CANTONMENT,32533,LANGUAGE ARTS TEACHER   6-8,N,EEA,0.0,8/17/2010,5/17/2012,W,F,221,RANSOM MIDDLE,42,18
CANTONMENT,32533,PHYSICAL ED TEACHER K-5,N,EEA,0.0,,,W,M,941,BEULAH ELEMENTARY,47,18
PENSACOLA,32504,SCIENCE TEACHER   9-12,N,EEA,0.0,,,W,M,951,WASHINGTON HIGH,59,26
PENSACOLA,32506,1ST GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,451,PLEASANT GROVE ELEMENTARY,51,15
MOLINO,32577,DRIVERS ED TEACHER   9-12,N,EEA,0.0,2/5/1990,5/17/2012,W,M,862,PINE FOREST HIGH,60,33
PENSACOLA,32507,BUSINESS ED TEACHER 6-8,N,EEA,0.0,,,W,F,301,FERRY PASS MIDDLE,67,35
CANTONMENT,32533,5TH GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,501,SUTER ELEMENTARY,46,22
CANTONMENT,32533,MATHEMATICS TEACHER   6-8,N,EEA,0.0,,,W,F,221,RANSOM MIDDLE,59,17
CANTONMENT,32533,ESE-GIFTED SELF-CONTAINED/CLUSTER TCHR,Y,EEA,64.87,2/9/2009,,W,M,301,FERRY PASS MIDDLE,48,23
PENSACOLA,32514,PHYSICAL ED TEACHER K-5,Y,EEA,64.87,4/16/2003,,W,F,461,SCENIC HEIGHTS ELEMENTARY,57,31
LILLIAN,36549,PHYSICAL ED TEACHER K-5,N,EEA,0.0,,,W,F,1241,BLUE ANGELS ELEMENTARY,57,32
PENSACOLA,32526,3RD GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,,,W,F,451,PLEASANT GROVE ELEMENTARY,60,33
PENSACOLA,32526,SOCIAL STUDIES TEACHER   9-12,N,EEA,0.0,,,W,M,862,PINE FOREST HIGH,56,27
CANTONMENT,32533,LANGUAGE ARTS TEACHER    9-12,N,EEA,0.0,,,W,F,521,TATE HIGH,65,23
PENSACOLA,32514,KINDERGARTEN-SELF CONTAINED,Y,EEA,64.87,2/22/2011,,W,F,461,SCENIC HEIGHTS ELEMENTARY,61,20
PENSACOLA,32503,2ND GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,231,CORDOVA PARK ELEMENTARY,44,15
PENSACOLA,32514,LIBRARIAN/MEDIA SPEC  K-5,N,EEA,0.0,8/9/2004,,W,F,921,MCARTHUR ELEMENTARY,48,16
PENSACOLA,32503,READING TEACHER   9-12,N,EEA,0.0,9/21/1999,6/13/2019,B,F,1251,WEST FLORIDA TECH HIGH,45,21
PENSACOLA,32534,FOREIGN LANGUAGE TEACHER  9-12,Y,EEA,64.87,9/20/2016,,W,M,862,PINE FOREST HIGH,47,23
PENSACOLA,32514,MATHEMATICS TEACHER   9-12,N,EEA,0.0,,,A,F,411,PENSACOLA HIGH,63,21
MILTON,32571,LIBRARIAN/MEDIA SPEC  6-8,N,EEA,0.0,,,W,F,61,BELLVIEW MIDDLE,46,20
PENSACOLA,32534,ESE-VE SELF-CONTAINED TEACHER,N,EEA,0.0,,,W,F,521,TATE HIGH,60,19
PENSACOLA,32506,2ND GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,9/15/1995,,B,F,21,CARO ELEMENTARY,51,26
CANTONMENT,32533,4TH GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,9/16/2003,,W,F,471,SEMMES ELEMENTARY,44,17
PENSACOLA,32503,PHYSICAL ED TEACHER K-5,Y,EEA,64.87,6/3/2018,,W,F,501,SUTER ELEMENTARY,51,16
PENSACOLA,32504,2ND GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,9/12/2005,,B,F,291,FERRY PASS ELEMENTARY,42,15
PENSACOLA,32503,5TH GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,10/11/2006,,B,F,361,MONTCLAIR ELEMENTARY,50,23
PENSACOLA,32526,LIBRARIAN/MEDIA SPEC  9-12,Y,EEA,64.87,8/20/2002,,W,F,862,PINE FOREST HIGH,45,20
JAY,32565,3RD GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,8/10/2005,,W,F,101,BRATT ELEMENTARY,59,15
PENSACOLA,32506,KINDERGARTEN-SELF CONTAINED,Y,EEA,64.87,,,W,F,1241,BLUE ANGELS ELEMENTARY,56,24
ATMORE,36502,READING TEACHER   9-12,Y,EEA,64.87,10/20/2015,,W,F,1231,NORTHVIEW HIGH,47,16
PENSACOLA,32505,PRE-K TEACHER-SELF CONTAINED,Y,EEA,64.87,10/13/2012,,W,F,491,SHERWOOD ELEMENTARY,59,25
PENSACOLA,32507,MUSIC TEACHER K-5,Y,EEA,64.87,3/12/2007,,W,F,9380,ITINERANT FINE ARTS,64,29
PENSACOLA,32526,5TH GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,941,BEULAH ELEMENTARY,40,12
PENSACOLA,32506,ESE-INCLUSION SUPPORT TEACHER,Y,EEA,64.87,2/28/2017,,W,F,1221,BAILEY MIDDLE,50,15
PENSACOLA,32503,KINDERGARTEN-SELF CONTAINED,N,EEA,0.0,,,W,F,191,COOK ELEMENTARY,62,16
PENSACOLA,32507,SCIENCE TEACHER   9-12,Y,EEA,64.87,,,W,M,281,ESCAMBIA HIGH,50,19
PENSACOLA,32526,2ND GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,9/23/1993,,B,F,941,BEULAH ELEMENTARY,51,27
CANTONMENT,32533,TECHNOLOGY COORDINATOR,N,EEA,0.0,8/14/2008,11/2/2012,W,F,1201,LIPSCOMB ELEMENTARY,53,20
SEMINOLE,36574,ROTC INSTR - NAVY,N,EEA,0.0,,,W,M,862,PINE FOREST HIGH,58,21
PENSACOLA,32526,SCHOOL COUNSELOR  6-8,Y,EEA,64.87,9/3/2009,,W,F,1291,BEULAH MIDDLE,40,16
ELBERTA,36530,KINDERGARTEN-SELF CONTAINED,N,EEA,0.0,3/9/2013,10/1/2013,W,F,21,CARO ELEMENTARY,49,24
PENSACOLA,32506,SOCIAL STUDIES TEACHER   6-8,N,EEA,0.0,8/22/2006,10/12/2020,W,M,1221,BAILEY MIDDLE,57,16
CANTONMENT,32533,BUSINESS ED TEACHER-VOC,Y,EEA,64.87,10/10/2011,,W,M,521,TATE HIGH,44,21
CENTURY,32535,KINDERGARTEN-SELF CONTAINED,N,EEA,0.0,2/15/2011,,W,F,31,JIM ALLEN ELEMENTARY,63,27
STOCKTON,36579,3RD GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,1261,MOLINO PARK ELEMENTARY,61,32
PENSACOLA,32503,5TH GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,51,BELLVIEW ELEMENTARY,62,34
PENSACOLA,32534,2ND GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,31,JIM ALLEN ELEMENTARY,65,39
PENSACOLA,32506,ESE-INCLUSION SUPPORT TEACHER,Y,EEA,64.87,3/28/2006,,B,F,862,PINE FOREST HIGH,47,25
CANTONMENT,32533,ISS/ILR TEACHER 6-8,N,EEA,0.0,,,B,F,301,FERRY PASS MIDDLE,56,24
PENSACOLA,32526,1ST GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,8/17/2006,,W,F,21,CARO ELEMENTARY,42,16
CANTONMENT,32533,2ND GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,1201,LIPSCOMB ELEMENTARY,61,20
PENSACOLA,32506,ESE-INCLUSION SUPPORT TEACHER,N,EEA,0.0,,,W,F,501,SUTER ELEMENTARY,57,16
PENSACOLA,32514,1ST GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,8/17/1999,,W,F,461,SCENIC HEIGHTS ELEMENTARY,63,29
MILTON,32571,FAMILY/CONSUMER SCIENCE TEACHER 6-8,Y,EEA,64.87,8/31/2010,,W,F,1291,BEULAH MIDDLE,51,16
PENSACOLA,32514,PHYSICAL ED TEACHER 6-8,N,EEA,0.0,,,W,F,221,RANSOM MIDDLE,55,27
CANTONMENT,32533,4TH GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,31,JIM ALLEN ELEMENTARY,56,18
CANTONMENT,32533,MATHEMATICS TEACHER   6-8,N,EEA,0.0,,,W,M,221,RANSOM MIDDLE,63,26
PENSACOLA,32534,CURRICULUM COORDINATOR K-5,Y,EEA,64.87,9/11/1996,,B,F,271,ENSLEY ELEMENTARY,49,28
PENSACOLA,32526,MUSIC TEACHER K-5,N,EEA,0.0,,,W,F,863,LONGLEAF ELEMENTARY,64,20
PENSACOLA,32526,ESE-GIFTED ENRICHMENT TEACHER,N,EEA,0.0,,,W,F,9360,EXCEPTIONAL STUDENT ED-WK LOC,57,30
PACE,32571,ESE-GIFTED SELF-CONTAINED/CLUSTER TCHR,Y,EEA,64.87,8/17/2006,,W,F,461,SCENIC HEIGHTS ELEMENTARY,51,17
WALNUT HILL,32568,PHYSICAL ED TEACHER 6-8,N,EEA,0.0,3/7/2018,,W,F,541,ERNEST WARD MIDDLE,53,25
PENSACOLA,32506,2ND GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,7/22/1999,,W,F,1281,GLOBAL LEARNING ACADEMY,63,26
CANTONMENT,32533,ESE-BEHAVIOR COACH,Y,EEA,64.87,8/13/2008,,B,F,221,RANSOM MIDDLE,45,15
PENSACOLA,32503,ESE-ADAPTIVE P.E. TEACHER,N,EEA,0.0,2/9/2009,,A,F,9360,EXCEPTIONAL STUDENT ED-WK LOC,55,31
PACE,32571,PHYSICAL ED TEACHER K-5,N,EEA,0.0,7/24/2014,10/4/2020,W,F,1241,BLUE ANGELS ELEMENTARY,61,31
PENSACOLA,32507,ESE-GIFTED SELF-CONTAINED/CLUSTER TCHR,Y,EEA,64.87,8/14/2001,,W,M,1221,BAILEY MIDDLE,55,27
PENSACOLA,32514,SCIENCE TEACHER   9-12,N,EEA,0.0,,,W,F,951,WASHINGTON HIGH,49,30
PENSACOLA,32504,4TH GRADE TCHR--SELF CONTAINED,Y,EEA,64.87,9/1/1983,,B,F,501,SUTER ELEMENTARY,63,38
PENSACOLA,32514,TECHNOLOGY COORDINATOR,Y,EEA,64.87,10/13/2008,,W,F,501,SUTER ELEMENTARY,47,20
PENSACOLA,32514,ESE PK-VE SELF-CONTAINED TEACHER,Y,EEA,64.87,8/23/2011,,W,F,602,HOLM ELEMENTARY,36,18
CANTONMENT,32533,MUSIC-STRINGS TEACHER-6-12,Y,EEA,64.87,8/9/2006,,W,F,9380,ITINERANT FINE ARTS,52,24
PENSACOLA,32526,LIBRARIAN/MEDIA SPEC  6-8,Y,EEA,64.87,3/13/1992,,W,F,1291,BEULAH MIDDLE,60,31
ATMORE,36502,PERSONAL DEVELOPMENT TEACHER 6-8,N,EEA,0.0,,,W,F,541,ERNEST WARD MIDDLE,67,17
PENSACOLA,32526,ESE-INCLUSION SUPPORT TEACHER,Y,EEA,64.87,1/15/2002,,W,M,1291,BEULAH MIDDLE,60,21
PENSACOLA,32514,PHYSICAL ED TEACHER K-5,N,EEA,0.0,,,W,F,191,COOK ELEMENTARY,40,16
PENSACOLA,32514,KINDERGARTEN-SELF CONTAINED,Y,EEA,64.87,6/1/1987,,B,F,371,MYRTLE GROVE ELEMENTARY,63,34
PENSACOLA,32505,ISS/ILR TEACHER 6-8,Y,EEA,64.87,8/13/1997,,B,F,1291,BEULAH MIDDLE,60,26
PENSACOLA,32505,MATHEMATICS TEACHER   9-12,Y,EEA,64.87,9/10/2008,,W,M,281,ESCAMBIA HIGH,59,27
PENSACOLA,32503,2ND GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,461,SCENIC HEIGHTS ELEMENTARY,46,20
PACE,32571,ESE-INCLUSION SUPPORT TEACHER,N,EEA,0.0,,,W,M,521,TATE HIGH,45,15
PENSACOLA,32534,BUSINESS ED TEACHER-VOC,Y,EEA,64.87,9/2/1999,,W,F,1251,WEST FLORIDA TECH HIGH,52,24
PENSACOLA,32507,ART TEACHER K-5,N,EEA,0.0,,,W,F,21,CARO ELEMENTARY,44,17
CANTONMENT,32533,4TH GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,441,PINE MEADOW ELEMENTARY,43,15
CANTONMENT,32533,ESE-ART/MUSIC TEACHER,Y,EEA,64.87,9/11/1996,,W,F,922,ESCAMBIA WESTGATE CENTER,61,26
PENSACOLA,32526,KINDERGARTEN-SELF CONTAINED,N,EEA,0.0,,,W,F,941,BEULAH ELEMENTARY,39,15
MOLINO,32577,LANGUAGE ARTS TEACHER    9-12,Y,EEA,64.87,,,W,F,521,TATE HIGH,50,19
PENSACOLA,32526,ESE-GIFTED SELF-CONTAINED/CLUSTER TCHR,Y,EEA,64.87,8/11/2009,,A,F,671,BROWN-BARGE MIDDLE,40,16
CANTONMENT,32533,SCHOOL COUNSELOR  K-5,N,EEA,0.0,,,B,F,21,CARO ELEMENTARY,65,18
PENSACOLA,32514,2ND GRADE TCHR--SELF CONTAINED,N,EEA,0.0,,,W,F,191,COOK ELEMENTARY,55,31
PENSACOLA,32507,TEACHER IN CHARGE,Y,EEA,64.87,7/12/1995,,W,M,9304,DROPOUT PREVENTION PROG,68,44
PENSACOLA,32507,MULTI-GRADE TEACHER   K-5,Y,EEA,66.37,1/24/1997,,W,F,581,WEST PENSACOLA ELEMENTARY,67,37
PENSACOLA,32534,ESE-GIFTED SELF-CONTAINED/CLUSTER TCHR,Y,EEA,64.87,4/25/2006,,W,F,1291,BEULAH MIDDLE,66,15
